PERMNO,date,SHRCD,EXCHCD,TICKER,COMNAM,SHRCLS,TRDSTAT,PERMCO,DLSTCD,DLRET,RET,BID,ASK
89393,4/29/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.04591,190.35001,190.36
89393,5/2/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.047804,199.36,199.46001
89393,5/3/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.002055,199.84,199.87
89393,5/4/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.020713,204.00999,204.09
89393,5/5/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.076908,188.42,188.56
89393,5/6/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.039029,180.95,180.96001
89393,5/9/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.043488,173.07001,173.14999
89393,5/10/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.026343,177.62,177.64
89393,5/11/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.063548,166.32001,166.41
89393,5/12/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.047725,174.31,174.39999
89393,5/13/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.076473,187.67999,187.69
89393,5/16/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.006022,186.45,186.50999
89393,5/17/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.021715,190.57001,190.62
89393,5/18/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.070162,177.25,177.35001
89393,5/19/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.035499,183.42999,183.44
89393,5/20/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.015642,186.35001,186.39
89393,5/23/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.005849,187.44,187.48
89393,5/24/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.037879,180.34,180.36
89393,5/25/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.041533,187.75999,187.83
89393,5/26/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.019007,191.32001,191.44
89393,5/27/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.019802,195.17999,195.19
89393,5/31/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.011527,197.31,197.50999
89393,6/1/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.022944,192.83,192.91
89393,6/2/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.063138,205.09,205.17
89393,6/3/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.029792,198.91,198.95
89393,6/6/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.009247,197.03999,197.19
89393,6/7/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.007457,198.59,198.64999
89393,6/8/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.021248,202.82001,202.83
89393,6/9/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.049598,192.74001,192.75999
89393,6/10/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.050993,182.91,182.92999
89393,6/13/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.072428,169.69,169.77
89393,6/14/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.01267,167.59,167.64
89393,6/15/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.075027,180.11,180.16
89393,6/16/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.037533,173.36,173.41
89393,6/17/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.01246,175.5,175.50999
89393,6/21/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.026209,170.91,170.92
89393,6/22/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.046691,178.78999,178.87
89393,6/23/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.015764,181.57001,181.71001
89393,6/24/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.0503,190.85001,190.94
89393,6/27/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.00896,189.06,189.10001
89393,6/28/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.050439,179.60001,179.69
89393,6/29/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.006904,178.32001,178.44
89393,6/30/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.019567,174.92,174.98
89393,7/1/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.02905,179.95,179.96001
89393,7/5/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.032954,185.88,185.89
89393,7/6/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.009791,183.97,184.08
89393,7/7/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.028306,189.21001,189.28
89393,7/8/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.012126,186.97,186.98
89393,7/11/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.051531,177.35001,177.41
89393,7/12/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.016296,174.44,174.45
89393,7/13/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.012095,176.55,176.56
89393,7/14/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.010082,174.77,174.78
89393,7/15/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.081989,189.11,189.16
89393,7/18/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.009571,190.81,190.96001
89393,7/19/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.056097,201.44,201.63
89393,7/20/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.073451,216.33,216.44
89393,7/21/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.034374,223.84,223.89
89393,7/22/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.015365,220.44,220.5
89393,7/25/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.008755,218.47,218.53
89393,7/26/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.021052,213.84,213.88
89393,7/27/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.060025,226.69,226.74001
89393,7/28/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.003219,226.02,226.07001
89393,7/29/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.004955,224.89,224.89999
89393,8/1/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.005825,226.19,226.25
89393,8/2/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.021175,221.39999,221.46001
89393,8/3/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.023982,226.7,226.74001
89393,8/4/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.014026,229.91,229.95
89393,8/5/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.013614,226.78,226.78999
89393,8/8/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.029588,233.48,233.5
89393,8/9/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.015204,229.94,230.05
89393,8/10/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.061625,244.10001,244.11
89393,8/11/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.005776,242.64,242.69
89393,8/12/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.027194,249.19,249.3
89393,8/15/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.000762,249.11,249.12
89393,8/16/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.013729,245.67,245.71001
89393,8/17/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.018479,241.02,241.2
89393,8/18/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.01667,245.12,245.17
89393,8/19/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.016356,241.16,241.21001
89393,8/22/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.060624,226.49001,226.64999
89393,8/23/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.008784,224.58,224.62
89393,8/24/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.022534,229.59,229.64
89393,8/25/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.019032,233.95,234.08
89393,8/26/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.04573,223.27,223.28
89393,8/29/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.005778,224.50999,224.53999
89393,8/30/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.017456,220.64999,220.66
89393,8/31/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.013188,223.52,223.53999
89393,9/1/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.028985,230.00999,230.14
89393,9/2/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.017084,226.11,226.13
89393,9/6/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.034143,218.39,218.39999
89393,9/7/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.0484,228.95,228.96001
89393,9/8/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.006639,227.44,227.45
89393,9/9/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.026952,233.53,233.61
89393,9/12/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.012673,236.5,236.56
89393,9/13/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.077791,218.13,218.22
89393,9/14/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.027461,224.11,224.22
89393,9/15/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.050241,235.37,235.38
89393,9/16/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.02018,240.12,240.21001
89393,9/19/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.014575,243.63,243.64999
89393,9/20/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.003202,242.81,242.95
89393,9/21/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.024624,236.81,236.86
89393,9/22/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.00076,236.95,237.03
89393,9/23/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.044885,226.41,226.42
89393,9/26/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.010335,223.95,224.07001
89393,9/27/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.001294,224.36,224.44
89393,9/28/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,0.092886,245.13,245.2
89393,9/29/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.02239,239.71001,239.82001
89393,9/30/2022,11,3,NFLX,NETFLIX INC,,A,43145,,,-0.017813,235.41,235.44
90215,9/29/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.006537,270.53,270.64001
90215,9/30/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.002662,271.12,271.20001
90215,10/1/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.014896,275.41,275.42001
90215,10/4/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.015985,270.88,270.95999
90215,10/5/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.00336,271.72,271.76999
90215,10/6/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.012879,275.26999,275.35999
90215,10/7/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.002507,274.59,274.60001
90215,10/8/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.007648,272.48999,272.5
90215,10/11/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.004661,273.69,273.73001
90215,10/12/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.019178,278.98999,279
90215,10/13/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.019391,284.42999,284.48001
90215,10/14/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.019725,290.01999,290.03
90215,10/15/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.005655,291.64001,291.64999
90215,10/18/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.000137,291.62,291.70001
90215,10/19/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.002194,292.42999,292.44
90215,10/20/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.007697,290.07001,290.07999
90215,10/21/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.000965,289.76001,289.76999
90215,10/22/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.009489,292.54999,292.56
90215,10/25/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.004649,293.92001,293.92999
90215,10/26/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.004049,295.03,295.04001
90215,10/27/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.000136,295.25,295.26001
90215,10/28/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.010944,298.39999,298.42001
90215,10/29/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.00439,299.66,299.79001
90215,11/1/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.010244,302.70001,302.81
90215,11/2/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.000628,302.87,302.88
90215,11/3/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.000198,302.82001,302.82999
90215,11/4/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.017003,308.06,308.17999
90215,11/5/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.002565,307.25,307.26001
90215,11/8/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.00882,309.95999,309.97
90215,11/9/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.000807,309.64999,309.76999
90215,11/10/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.032417,299.60001,299.70999
90215,11/11/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.011045,303.04001,303.04999
90215,11/12/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.012113,306.62,306.63
90215,11/15/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.003783,305.59,305.60001
90215,11/16/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.005238,307.17999,307.19
90215,11/17/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.003028,308.03,308.07999
90215,11/18/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.01633,302.98001,303.17999
90215,11/19/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.006007,301.28,301.29001
90215,11/22/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.014377,296.84,296.85001
90215,11/23/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.018259,291.41,291.42001
90215,11/24/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.007721,289.25,289.26999
90215,11/26/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.017153,284.34,284.51999
90215,11/29/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.044087,296.51001,296.66
90215,11/30/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.039698,285.19,285.20001
90215,12/1/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.11742,251.49001,251.5
90215,12/2/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.038569,261.19,261.47
90215,12/3/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.011026,258.29999,258.31
90215,12/6/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.001665,258.82001,258.82999
90215,12/7/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.031845,267.07999,267.09
90215,12/8/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.002547,266.23999,266.31
90215,12/9/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.007472,264.23001,264.28
90215,12/10/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.006469,265.97,266.03
90215,12/13/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.001015,265.75,265.82001
90215,12/14/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.038268,255.7,255.72
90215,12/15/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.017411,259.81,259.82001
90215,12/16/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.026611,253.27,253.28
90215,12/17/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.000751,252.92,252.92999
90215,12/20/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.022615,247.31,247.32001
90215,12/21/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.021601,252.48,252.49001
90215,12/22/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.00099,252.72,252.8
90215,12/23/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.001345,253.10001,253.14
90215,12/27/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.020384,258.35999,258.37
90215,12/28/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.011034,255.45,255.52
90215,12/29/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.003562,254.55,254.56
90215,12/30/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.003104,255.27,255.35001
90215,12/31/2021,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.0047,254.06,254.10001
90215,1/3/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.005234,255.46001,255.5
90215,1/4/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.028302,248.16,248.17
90215,1/5/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.082826,227.53999,227.59
90215,1/6/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.006501,229.12,229.14999
90215,1/7/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.003666,228.25999,228.28999
90215,1/10/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.005782,229.72,229.73
90215,1/11/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.022689,234.87,234.91
90215,1/12/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.012732,237.94,237.95
90215,1/13/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.038683,228.66,228.67
90215,1/14/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.011372,231.10001,231.17
90215,1/18/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.022359,226.03999,226.11
90215,1/19/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,0.000929,226.28,226.33
90215,1/20/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.014717,222.88,222.89
90215,1/21/2022,11,1,CRM,SALESFORCE COM INC,,A,45288,,,-0.019333,218.59,218.60001
